batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Eugenio Suárez,553993,3,2026,0.333,1,0.556,0.333,0.0,91.1
Matt McLain,680574,1,2025,0.0,0,0.463,0.0,0.5,83.1
Elly De La Cruz,682829,5,2025–2026,0.2,1,0.433,0.4,0.167,83.6
JJ Bleday,668709,15,2022–2026,0.2,1,0.373,0.182,0.235,86.4
TJ Friedl,670770,5,2024–2026,0.0,0,0.327,0.2,0.125,86.6
Dane Myers,667472,2,2025,0.5,0,0.289,0.0,0.5,83.5
Ke'Bryan Hayes,663647,13,2020–2025,0.154,0,0.231,0.667,0.231,97.3
Jose Trevino,624431,14,2020–2026,0.357,0,0.192,0.385,0.167,87.7
Sal Stewart,701398,2,2026,0.0,0,0.072,0.0,0.571,90.1
Noelvi Marte,682622,3,2026,0.0,0,0.061,0.0,0.0,80.0
Tyler Stephenson,663886,1,2024,0.0,0,,0.0,0.0,
