batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Vladimir Guerrero Jr.,665489,21,2021–2026,0.619,2,0.567,0.619,0.108,96.0
George Springer,543807,30,2015–2026,0.167,2,0.353,0.5,0.284,91.3
Alejandro Kirk,672386,17,2021–2025,0.294,1,0.335,0.571,0.167,95.6
Andrés Giménez,665926,6,2024–2025,0.333,0,0.298,0.333,0.312,91.1
Daz Cameron,663662,5,2021–2024,0.2,0,0.261,0.0,0.333,80.2
Ernie Clement,676391,20,2024–2026,0.35,0,0.192,0.158,0.071,86.5
Myles Straw,664702,13,2021–2026,0.077,0,0.191,0.4,0.348,87.1
Brandon Valenzuela,678218,2,2026,0.0,0,0.089,0.0,0.25,78.1
Kazuma Okamoto,672960,2,2026,0.0,0,0.065,0.0,0.5,92.7
Jesús Sánchez,660821,2,2022,0.0,0,0.0,,0.1,
Nathan Lukes,664770,0,2025,,0,,,0.0,
