batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Anthony Seigler,678011,1,2026,1.0,0,0.699,1.0,0.333,96.0
Marcelo Mayer,691785,5,2026,0.2,0,0.444,0.4,0.0,77.1
Masataka Yoshida,807799,8,2025–2026,0.25,0,0.311,0.5,0.158,94.0
Wilyer Abreu,677800,7,2025–2026,0.0,0,0.291,0.4,0.278,90.9
Willson Contreras,575929,6,2026,0.167,0,0.25,0.5,0.333,91.8
Carlos Narváez,665966,5,2025–2026,0.0,0,0.212,0.667,0.167,92.7
Ceddanne Rafaela,678882,9,2025–2026,0.222,0,0.181,0.333,0.25,86.8
Mickey Gasper,681508,4,2025–2026,0.0,0,0.133,0.333,0.0,85.5
Jarren Duran,680776,10,2025–2026,0.1,0,0.132,0.375,0.333,82.4
Caleb Durbin,702332,5,2026,0.0,0,0.122,0.0,0.125,71.2
