batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Tyler Freeman,671289,2,2025,0.0,0,0.429,0.5,0.25,84.6
Kyle Karros,691720,2,2025,0.5,0,0.398,0.5,0.0,90.8
Willi Castro,650489,1,2025,0.0,0,0.309,1.0,0.0,105.2
Ezequiel Tovar,678662,2,2025,0.5,0,0.226,1.0,0.2,100.7
Jordan Beck,687597,3,2025,0.0,0,0.218,1.0,0.333,106.4
Mickey Moniak,666160,3,2025,0.0,0,0.199,0.333,0.0,89.7
Hunter Goodman,696100,3,2025,0.0,0,0.0,,0.286,
Edouard Julien,666397,1,2024,0.0,0,0.0,,0.667,
