batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Brady House,691781,7,2025–2026,0.571,2,0.768,1.0,0.133,103.1
Nasim Nuñez,683083,6,2024–2026,0.5,1,0.38,0.5,0.143,86.1
Andrés Chaparro,665953,7,2024–2026,0.286,1,0.347,0.25,0.375,84.6
Jacob Young,696285,11,2024–2026,0.364,0,0.3,0.286,0.273,69.8
Keibert Ruiz,660688,11,2023–2026,0.364,0,0.296,0.182,0.0,89.2
Harry Ford,695670,2,2026,0.0,0,0.279,0.0,0.429,92.1
CJ Abrams,682928,17,2022–2026,0.294,0,0.271,0.308,0.161,83.7
José Tena,677588,3,2024,0.333,0,0.251,1.0,0.143,100.4
James Wood,695578,13,2024–2026,0.154,0,0.247,0.556,0.227,99.5
Daylen Lile,695734,8,2025–2026,0.125,0,0.205,0.6,0.235,87.9
Dylan Crews,686611,10,2024–2026,0.0,0,0.189,0.286,0.3,89.4
