batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Matt Olson,621566,2,2024–2025,0.5,0,0.726,1.0,0.75,107.6
Sean Murphy,669221,0,2025,,0,0.691,,,
Mauricio Dubón,643289,2,2022–2024,0.0,0,0.286,0.5,0.333,81.4
Lane Thomas,657041,5,2023–2026,0.4,0,0.244,0.333,0.167,89.5
Kyle Farmer,571657,1,2025,0.0,0,0.08,1.0,0.0,101.1
Ha-Seong Kim,673490,1,2023,1.0,0,0.064,0.0,0.0,66.1
Ozzie Albies,645277,2,2024–2025,0.5,0,0.044,0.0,0.6,67.4
Dominic Smith,642086,2,2024–2025,0.0,0,0.001,0.0,0.75,88.1
Austin Riley,663586,1,2025,0.0,0,0.0,,0.0,
Mike Yastrzemski,573262,1,2023,0.0,0,0.0,,0.5,
Drake Baldwin,686948,3,2023–2025,0.0,0,,0.5,0.5,95.4
