batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Blaze Jordan,691458,1,2026,0.0,0,0.513,0.0,0.0,68.0
Iván Herrera,671056,11,2024–2026,0.455,1,0.44,0.444,0.143,90.3
Pedro Pagés,686780,8,2024–2026,0.375,0,0.384,0.286,0.045,88.2
José Fermín,665877,3,2024–2026,0.0,0,0.36,0.25,0.0,87.8
Masyn Winn,691026,19,2024–2026,0.158,0,0.352,0.471,0.103,92.1
Alec Burleson,676475,15,2024–2026,0.2,0,0.328,0.231,0.282,87.0
Jordan Walker,691023,15,2023–2026,0.0,0,0.304,0.556,0.375,92.0
JJ Wetherholt,802139,3,2026,0.0,0,0.158,0.5,0.333,89.2
Nathan Church,701675,4,2025,0.25,0,0.135,1.0,0.286,103.4
Everson Pereira,677592,1,2026,1.0,1,,1.0,0.0,102.5
