batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Jorbit Vivas,678391,2,2026,0.5,1,0.696,1.0,0.0,98.8
Luis García Jr.,671277,28,2020–2026,0.179,1,0.415,0.364,0.198,88.1
CJ Abrams,682928,19,2022–2026,0.211,1,0.386,0.143,0.261,86.0
Keibert Ruiz,660688,18,2021–2025,0.167,0,0.307,0.294,0.114,89.6
Jacob Young,696285,8,2024–2025,0.375,0,0.288,0.2,0.4,72.9
José Tena,677588,10,2024–2026,0.2,0,0.25,1.0,0.333,103.2
Daylen Lile,695734,6,2025–2026,0.167,0,0.189,0.143,0.062,90.5
James Wood,695578,13,2024–2026,0.154,0,0.179,0.714,0.333,95.8
Nasim Nuñez,683083,3,2024–2026,0.0,0,0.16,0.0,0.143,64.7
Dylan Crews,686611,10,2024–2026,0.4,0,0.136,0.286,0.417,85.1
Andrés Chaparro,665953,4,2023–2024,0.25,1,0.062,0.667,0.25,95.9
Brady House,691781,3,2025,0.0,0,0.019,0.0,0.286,70.8
