batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Ben Rice,700250,5,2025–2026,0.4,1,0.753,0.75,0.0,98.4
Austin Wells,669224,2,2025,0.5,1,0.599,1.0,0.5,103.7
Anthony Volpe,683011,4,2025–2026,0.5,1,0.445,1.0,0.5,104.2
Cody Bellinger,641355,16,2018–2026,0.375,1,0.384,0.4,0.283,89.9
Paul Goldschmidt,502671,35,2019–2025,0.257,2,0.379,0.56,0.211,92.6
Jazz Chisholm Jr.,665862,11,2023–2026,0.182,1,0.376,0.333,0.483,86.5
Amed Rosario,642708,4,2023–2024,0.25,0,0.312,0.333,0.333,79.3
Heliot Ramos,671218,5,2023–2025,0.2,0,0.298,0.0,0.143,88.8
Ryan McMahon,641857,19,2019–2026,0.158,0,0.295,0.308,0.204,88.3
Luis García Jr.,671277,12,2021–2026,0.25,0,0.233,0.333,0.235,88.8
José Caballero,676609,2,2024,0.0,0,0.0,,0.667,
Spencer Jones,682987,4,2026,0.25,0,0.0,0.5,0.444,73.0
Ali Sánchez,645305,1,2026,0.0,0,,,0.0,
George Lombard Jr.,806146,2,2026,0.5,0,,1.0,0.5,96.7
