batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Tyler Stephenson,663886,6,2023–2026,0.667,2,0.977,0.4,0.25,103.0
TJ Friedl,670770,6,2023–2026,0.333,1,0.338,0.0,0.333,67.8
Eugenio Suárez,553993,8,2024–2026,0.0,0,0.247,0.25,0.438,86.1
Elly De La Cruz,682829,8,2023–2026,0.125,1,0.188,0.5,0.308,87.7
JJ Bleday,668709,2,2025,0.5,0,0.122,0.0,0.2,87.5
Dane Myers,667472,3,2025–2026,0.0,0,0.013,0.5,0.2,92.0
Héctor Rodríguez,699302,1,2026,0.0,0,,,0.333,
Jose Trevino,624431,1,2026,0.0,0,,0.0,0.0,85.4
Matt McLain,680574,1,2026,0.0,0,,1.0,0.0,100.3
Sal Stewart,701398,1,2026,1.0,0,,0.0,0.667,90.6
