batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Bryce Harper,547180,6,2022–2025,0.5,0,0.409,0.6,0.417,95.3
Bryan De La Cruz,650559,6,2024,0.0,0,0.406,0.8,0.357,97.3
Bryson Stott,681082,7,2022–2025,0.429,0,0.368,0.5,0.304,96.4
J.T. Realmuto,592663,6,2023–2025,0.333,1,0.345,0.5,0.211,97.0
Kyle Schwarber,656941,14,2021–2025,0.286,1,0.341,0.571,0.333,94.9
Luis Arraez,650333,12,2022–2026,0.167,1,0.26,0.4,0.091,87.7
Edmundo Sosa,624641,2,2023,0.5,0,0.233,0.5,0.2,87.8
Alec Bohm,664761,10,2022–2025,0.3,0,0.212,0.429,0.174,91.0
Brandon Marsh,669016,17,2021–2025,0.118,0,0.202,0.273,0.185,90.6
Trea Turner,607208,8,2023–2025,0.125,1,0.196,0.143,0.125,90.0
Garrett Stubbs,596117,2,2022,0.0,0,0.124,0.0,0.25,36.7
Derek Hill,656537,5,2023–2026,0.4,0,0.095,0.0,0.0,72.6
