batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Jackson Chourio,694192,5,2024–2025,0.4,0,0.545,0.714,0.077,95.8
Brice Turang,668930,11,2024–2026,0.545,0,0.492,0.636,0.111,92.5
Gary Sánchez,596142,19,2016–2026,0.316,2,0.446,0.444,0.227,92.5
Andrew Vaughn,683734,10,2022–2025,0.3,0,0.398,0.231,0.121,90.6
Jake Bauers,641343,4,2017–2026,0.25,0,0.338,0.667,0.0,106.7
Christian Yelich,592885,5,2024–2025,0.2,0,0.33,0.4,0.0,87.4
William Contreras,661388,8,2021–2026,0.125,0,0.288,0.375,0.292,89.6
Blake Perkins,663368,5,2024–2026,0.2,0,0.274,0.5,0.143,83.4
Joey Ortiz,687401,6,2023–2026,0.167,0,0.186,0.4,0.118,79.4
Sal Frelick,686217,5,2025,0.2,0,0.126,0.0,0.0,67.1
Garrett Mitchell,669003,3,2024,0.0,0,0.0,0.0,0.286,51.1
