batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Austin Riley,663586,0,2026,,0,0.699,,0.25,
Drake Baldwin,686948,3,2025,0.333,0,0.412,0.667,0.0,95.4
Ozzie Albies,645277,4,2025–2026,0.25,0,0.336,0.25,0.143,88.9
Dominic Smith,642086,2,2026,0.5,0,0.32,0.5,0.0,95.7
Mike Yastrzemski,573262,2,2026,0.5,0,0.149,1.0,0.333,99.7
Mauricio Dubón,643289,2,2026,0.0,0,0.094,0.5,0.0,91.7
Michael Harris II,671739,5,2025–2026,0.0,0,0.062,0.5,0.273,84.5
Matt Olson,621566,5,2025–2026,0.0,0,0.04,0.0,0.583,53.6
