batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
James Outman,681546,2,2023,0.5,1,0.961,0.5,0.0,82.6
Zach McKinstry,656716,9,2023–2025,0.444,0,0.532,0.545,0.148,91.7
Dillon Dingler,693307,6,2025,0.167,1,0.471,0.4,0.25,88.1
Matt Vierling,663837,7,2022–2026,0.571,0,0.449,0.429,0.077,90.1
Riley Greene,682985,10,2023–2026,0.3,0,0.37,0.556,0.345,97.9
Kerry Carpenter,681481,10,2023–2025,0.1,0,0.349,0.111,0.13,85.4
Gleyber Torres,650402,26,2020–2025,0.346,1,0.348,0.308,0.2,88.7
Colt Keith,690993,7,2025–2026,0.143,0,0.307,0.429,0.143,87.1
Spencer Torkelson,679529,8,2023–2025,0.25,2,0.235,0.333,0.087,90.9
Jake Rogers,668670,5,2023–2025,0.0,0,0.181,1.0,0.5,102.4
Ben Malgeri,701162,1,2025,1.0,1,,0.0,0.0,
Hao-Yu Lee,701678,2,2026,0.5,0,,0.5,0.0,105.8
