batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Jake Burger,669394,2,2026,0.5,1,0.885,0.5,0.0,99.2
Corey Seager,608369,1,2026,0.0,0,0.717,1.0,0.667,99.3
Evan Carter,694497,2,2026,0.5,0,0.454,0.5,0.0,91.8
Wyatt Langford,694671,2,2026,0.0,0,0.32,0.0,0.111,89.8
Elias Díaz,553869,2,2026,0.0,0,0.309,0.5,0.0,91.2
Ezequiel Duran,677649,3,2026,0.333,0,0.251,0.333,0.0,89.7
Brandon Nimmo,607043,3,2026,0.0,0,0.216,0.5,0.125,97.7
Justin Foscue,679822,2,2026,0.0,0,0.068,0.0,0.0,71.2
Logan O'Hoppe,681351,4,2026,0.0,0,0.047,0.667,0.143,98.8
Cody Freeman,683227,2,2026,0.0,0,0.033,0.0,0.286,83.6
