batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Matt Olson,621566,10,2017–2026,0.1,1,0.46,0.5,0.241,92.8
Ozzie Albies,645277,9,2018–2026,0.444,0,0.444,0.375,0.278,86.2
Michael Harris II,671739,2,2026,0.0,0,0.377,0.5,0.0,94.6
Lane Thomas,657041,12,2021–2026,0.167,0,0.34,0.5,0.158,90.4
Ronald Acuña Jr.,660670,11,2018–2026,0.273,0,0.334,0.5,0.455,98.0
Mauricio Dubón,643289,7,2019–2026,0.286,0,0.314,0.2,0.222,74.2
Austin Riley,663586,7,2020–2026,0.143,1,0.125,0.0,0.385,71.2
Drake Baldwin,686948,3,2026,0.333,0,0.123,0.0,0.0,76.5
Sean Murphy,669221,5,2021,0.2,0,0.063,1.0,0.333,96.2
Dominic Smith,642086,5,2019–2023,0.2,0,0.039,0.0,0.125,85.0
