batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Gabriel Moreno,672515,4,2023–2026,0.75,1,0.693,0.25,0.111,84.1
James McCann,543510,11,2019–2023,0.364,0,0.392,0.333,0.192,83.8
Nolan Arenado,571448,9,2023–2026,0.222,0,0.301,0.571,0.2,91.9
Geraldo Perdomo,672695,5,2025–2026,0.4,0,0.269,0.333,0.062,87.4
Max Kepler,596146,20,2016–2020,0.1,1,0.225,0.538,0.295,91.4
Jorge Barrosa,678489,2,2026,0.0,0,0.141,0.0,0.0,89.2
Corbin Carroll,682998,5,2023–2026,0.0,0,0.13,0.0,0.444,81.3
Jose Fernandez,699912,2,2026,0.0,0,0.124,1.0,0.6,97.2
Ildemaro Vargas,545121,6,2020–2026,0.0,0,0.095,0.167,0.25,79.0
Lars Nootbaar,663457,4,2023–2025,0.0,0,0.022,0.0,0.667,75.5
