batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Bryson Stott,681082,5,2023–2024,0.6,0,0.714,0.0,0.167,82.5
Bryan De La Cruz,650559,8,2023–2026,0.625,0,0.55,0.714,0.231,99.0
Justin Crawford,702222,2,2026,0.0,0,0.478,1.0,0.0,96.6
Kyle Schwarber,656941,16,2022–2026,0.125,0,0.453,0.625,0.355,89.2
Brandon Marsh,669016,1,2022,0.0,0,0.378,0.0,0.0,73.9
Alec Bohm,664761,20,2020–2026,0.4,1,0.351,0.4,0.233,88.0
Trea Turner,607208,19,2017–2026,0.263,1,0.341,0.421,0.119,92.3
J.T. Realmuto,592663,25,2017–2026,0.32,0,0.324,0.409,0.2,87.6
Garrett Stubbs,596117,7,2021–2026,0.286,0,0.306,0.0,0.176,74.9
Bryce Harper,547180,19,2017–2026,0.263,0,0.272,0.333,0.194,86.0
Luis Arraez,650333,12,2020–2024,0.083,1,0.267,0.091,0.158,91.7
Derek Hill,656537,3,2021–2024,0.333,0,0.252,1.0,0.429,101.8
Edmundo Sosa,624641,10,2023–2026,0.2,0,0.199,0.0,0.235,80.0
Rafael Marchán,665561,2,2026,0.0,0,,0.0,0.0,84.0
