batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Christopher Morel,666624,3,2023,0.333,0,0.751,0.667,0.0,93.1
Mark Vientos,668901,9,2023–2025,0.333,1,0.5,0.5,0.37,94.3
Francisco Lindor,596019,22,2023–2025,0.227,1,0.397,0.316,0.149,87.6
Bo Bichette,666182,5,2024–2025,0.0,0,0.377,0.6,0.0,90.2
Marcus Semien,543760,3,2024,0.333,0,0.371,0.333,0.167,92.8
Juan Soto,665742,16,2023–2025,0.188,1,0.357,0.778,0.259,97.9
Brett Baty,683146,5,2023–2025,0.2,0,0.314,0.5,0.417,104.9
Francisco Alvarez,682626,4,2023–2024,0.0,0,0.248,0.0,0.4,81.2
Ronny Mauricio,677595,2,2025,0.0,0,0.226,1.0,0.25,95.2
Cristian Pache,665506,10,2023–2024,0.1,0,0.194,0.333,0.211,88.7
Luis Torrens,620443,7,2024–2025,0.143,0,0.078,0.333,0.19,88.9
