batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Michael Busch,683737,4,2024–2025,0.25,0,0.405,0.25,0.3,91.5
Seiya Suzuki,673548,10,2023–2025,0.2,1,0.354,0.375,0.059,95.0
Dansby Swanson,621020,21,2016–2025,0.19,0,0.289,0.333,0.167,91.1
Carson Kelly,608348,5,2018–2025,0.4,0,0.286,0.333,0.25,90.2
Ian Happ,664023,11,2017–2025,0.182,0,0.283,0.625,0.259,93.4
Alex Bregman,608324,14,2016–2025,0.214,0,0.271,0.364,0.08,93.2
Michael Conforto,624424,10,2023–2025,0.2,0,0.195,0.1,0.125,86.4
Pete Crow-Armstrong,691718,6,2024–2026,0.167,0,0.178,0.2,0.333,81.5
Nico Hoerner,663538,8,2023–2025,0.125,0,0.176,0.286,0.0,84.6
Miguel Amaya,665804,4,2024,0.0,0,0.109,0.0,0.0,73.9
Tyrone Taylor,621438,1,2021,0.0,0,0.0,,0.5,
James Triantos,701649,1,2026,0.0,0,,0.0,0.0,67.5
Pedro Ramírez,699393,1,2026,1.0,0,,0.0,0.0,71.4
