batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Ryan Jeffers,680777,5,2026,0.4,1,0.478,0.5,0.25,82.8
Kody Clemens,665019,4,2025–2026,0.5,0,0.314,0.25,0.333,89.0
Brooks Lee,686797,6,2025–2026,0.333,0,0.283,0.0,0.3,87.6
Ryan Kreidler,668952,2,2026,0.0,0,0.278,1.0,0.0,102.8
Royce Lewis,668904,6,2025–2026,0.167,0,0.264,0.2,0.111,67.8
Luke Keaschall,807712,8,2025–2026,0.25,0,0.178,0.333,0.231,89.8
Josh Bell,605137,6,2026,0.333,0,0.163,0.333,0.143,88.6
Victor Caratini,605170,4,2026,0.0,0,0.085,0.0,0.375,92.0
