batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Stuart Fairchild,656413,3,2024–2026,0.667,1,0.399,0.5,0.429,90.7
José Ramírez,608070,30,2015–2026,0.3,0,0.365,0.451,0.133,90.6
Rhys Hoskins,656555,11,2022–2026,0.182,1,0.356,0.667,0.242,97.0
Patrick Bailey,672275,1,2025,0.0,0,0.346,,,
Brayan Rocchio,677587,8,2024–2026,0.125,1,0.246,0.667,0.455,94.0
Steven Kwan,680757,14,2022–2026,0.071,0,0.229,0.154,0.074,83.3
Austin Hedges,595978,6,2016–2026,0.0,0,0.214,0.25,0.312,91.4
Angel Martínez,682657,9,2025–2026,0.222,0,0.195,0.286,0.214,81.6
David Fry,681807,12,2024–2026,0.25,0,0.065,0.5,0.44,94.0
Travis Bazzana,683953,3,2026,0.0,0,0.015,0.0,0.333,74.2
