batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Max Muncy,571970,3,2023–2026,0.333,1,0.722,0.333,0.0,90.2
Freddie Freeman,518692,6,2023–2026,0.5,0,0.492,0.6,0.083,90.7
Enrique Hernández,571771,2,2022–2025,0.5,0,0.421,1.0,0.375,97.5
Kyle Tucker,663656,5,2025,0.2,0,0.395,0.25,0.111,87.3
Miguel Rojas,500743,9,2022–2026,0.222,0,0.352,0.429,0.25,86.3
Alex Call,669743,6,2025–2026,0.333,0,0.352,0.4,0.273,88.4
Tommy Edman,669242,7,2022–2025,0.429,1,0.34,0.833,0.167,100.6
Teoscar Hernández,606192,7,2025–2026,0.286,0,0.324,0.4,0.353,85.6
Mookie Betts,605141,6,2025,0.167,0,0.265,0.2,0.0,85.5
Shohei Ohtani,660271,7,2025,0.143,0,0.255,0.75,0.364,95.7
Will Smith,669257,3,2025,0.0,0,0.016,0.0,0.25,74.1
Alex Freeland,690976,2,2025,0.0,0,0.0,,0.5,
