batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Moisés Ballesteros,694208,1,2026,0.0,0,0.707,1.0,0.5,99.5
Jose Siri,642350,2,2024–2026,0.0,0,0.514,0.5,0.0,93.8
Mike Trout,545361,7,2023–2026,0.286,1,0.372,0.75,0.077,93.2
Nolan Schanuel,694384,4,2024–2026,0.25,0,0.328,0.5,0.0,91.7
Vaughn Grissom,687093,3,2026,0.667,0,0.283,1.0,0.2,100.8
Josh Lowe,666139,2,2023,0.0,0,0.234,0.0,0.429,68.2
Oswald Peraza,672724,4,2026,0.25,0,0.216,0.333,0.2,84.3
Zach Neto,687263,7,2024–2026,0.143,0,0.135,0.333,0.333,84.6
Wade Meckler,685133,6,2026,0.0,0,0.082,0.0,0.462,80.2
Travis d'Arnaud,518595,2,2023–2024,0.0,0,0.042,1.0,0.0,96.2
