batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
A.J. Ewing,805999,2,2026,1.0,0,0.59,0.0,0.0,78.1
Francisco Lindor,596019,5,2023–2025,0.2,1,0.545,0.4,0.0,95.9
Cristian Pache,665506,1,2020,1.0,0,0.535,0.0,0.333,73.5
Marcus Semien,543760,6,2020–2026,0.0,0,0.476,0.25,0.353,78.3
Eric Wagaman,676572,2,2025,0.5,0,0.41,0.5,0.0,95.6
Francisco Alvarez,682626,4,2025–2026,0.5,0,0.351,0.0,0.273,82.8
Brett Baty,683146,7,2023–2026,0.286,0,0.219,0.25,0.182,85.7
Luis Torrens,620443,2,2021,0.0,0,0.157,0.0,0.0,90.2
Carson Benge,701807,3,2026,0.0,0,0.127,0.0,0.25,77.8
Bo Bichette,666182,3,2026,0.0,0,0.112,0.333,0.0,85.5
Jared Young,676724,6,2025–2026,0.0,0,0.078,0.5,0.2,89.1
