batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Cody Bellinger,641355,7,2024–2025,0.286,1,0.68,0.833,0.067,96.4
Jazz Chisholm Jr.,665862,12,2021–2025,0.5,2,0.479,0.7,0.25,94.6
Trent Grisham,663757,20,2020–2025,0.2,2,0.398,0.375,0.235,85.1
Paul Goldschmidt,502671,15,2018–2025,0.267,1,0.307,0.375,0.31,86.1
Austin Wells,669224,7,2024–2025,0.143,0,0.271,0.167,0.077,73.3
Ryan McMahon,641857,37,2017–2025,0.216,2,0.257,0.652,0.321,95.6
Luis García Jr.,671277,5,2021–2025,0.2,0,0.246,0.4,0.222,86.8
Heliot Ramos,671218,7,2026,0.143,0,0.146,0.333,0.4,81.4
Amed Rosario,642708,5,2019,0.0,0,0.042,0.0,0.154,83.4
José Caballero,676609,2,2025,0.0,0,0.04,0.0,0.0,89.2
Ben Rice,700250,1,2025,0.0,0,0.0,,1.0,
