batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Gavin Sheets,657757,11,2023–2026,0.091,1,0.441,0.5,0.172,91.5
Manny Machado,592518,16,2023–2026,0.25,0,0.429,0.5,0.224,94.3
Ty France,664034,7,2023–2026,0.286,1,0.397,0.4,0.091,91.4
Jackson Merrill,701538,18,2024–2026,0.111,1,0.353,0.5,0.17,87.3
Fernando Tatis Jr.,665487,22,2023–2026,0.182,0,0.334,0.455,0.288,89.8
Luis Campusano,669134,7,2023–2026,0.143,0,0.307,0.167,0.267,75.8
Jake Cronenworth,630105,22,2023–2026,0.318,0,0.302,0.5,0.132,92.6
Xander Bogaerts,593428,18,2023–2026,0.111,0,0.165,0.357,0.308,89.1
Miguel Andujar,609280,3,2024,0.0,0,0.042,1.0,0.75,99.3
Jase Bowen,687749,2,2026,0.0,0,,,0.5,
Samad Taylor,669392,1,2026,0.0,0,,0.0,0.0,92.7
