batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Brooks Lee,686797,2,2026,0.5,1,0.857,1.0,0.2,100.6
Victor Caratini,605170,0,2023,,0,0.726,,,
Kody Clemens,665019,3,2026,0.0,0,0.439,0.5,0.2,97.7
Alex Jackson,656577,2,2026,0.5,0,0.294,1.0,0.333,107.1
Ryan Kreidler,668952,2,2026,0.5,0,0.282,0.5,0.4,97.4
Josh Bell,605137,4,2020–2026,0.0,0,0.196,0.333,0.1,95.4
Luke Keaschall,807712,2,2026,0.0,0,0.014,0.0,0.0,84.9
Ryan Jeffers,680777,1,2020,0.0,0,,,1.0,
