batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Cooper Pratt,806198,1,2026,0.0,0,0.452,1.0,0.0,95.2
Andrew Vaughn,683734,3,2022–2026,0.667,0,0.34,1.0,0.0,96.9
Christian Yelich,592885,20,2018–2026,0.15,0,0.294,0.333,0.4,81.7
Garrett Mitchell,669003,2,2026,0.0,0,0.293,0.5,0.333,101.1
William Contreras,661388,3,2022–2026,0.333,0,0.283,0.5,0.167,90.2
Jake Bauers,641343,6,2019–2026,0.5,0,0.255,0.4,0.308,94.2
David Hamilton,666152,5,2023–2025,0.2,0,0.19,0.0,0.188,81.7
Jackson Chourio,694192,3,2026,0.333,0,0.179,0.0,0.0,87.9
Joey Ortiz,687401,2,2026,0.0,0,0.09,0.0,0.0,84.7
Brice Turang,668930,2,2026,0.0,0,0.032,0.0,0.2,82.1
