batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Victor Scott II,687363,0,2025,,0,0.691,,0.0,
Iván Herrera,671056,4,2024–2026,0.5,1,0.686,0.25,0.111,85.8
Jordan Walker,691023,4,2025–2026,0.5,0,0.367,1.0,0.0,105.7
JJ Wetherholt,802139,4,2026,0.0,0,0.307,0.5,0.0,87.6
Alec Burleson,676475,6,2024–2026,0.0,0,0.281,0.0,0.333,64.3
Masyn Winn,691026,5,2024–2026,0.2,0,0.193,0.5,0.0,87.6
José Fermín,665877,7,2024–2026,0.143,0,0.127,0.0,0.0,74.5
Nathan Church,701675,3,2026,0.0,0,0.09,0.0,0.4,77.7
Thomas Saggese,695336,2,2025,0.0,0,0.04,0.5,0.0,68.3
Nolan Gorman,669357,1,2025,0.0,0,0.011,0.0,0.0,90.3
