batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Gavin Sheets,657757,6,2025–2026,0.167,1,0.484,0.5,0.278,88.6
Luis Rengifo,650859,4,2025–2026,0.5,0,0.475,0.5,0.0,84.0
Jake Cronenworth,630105,6,2024–2026,0.167,0,0.404,0.75,0.217,95.2
Fernando Tatis Jr.,665487,10,2025–2026,0.5,0,0.398,0.364,0.174,89.1
Luis Campusano,669134,4,2024–2026,0.5,0,0.357,0.0,0.0,72.4
Manny Machado,592518,12,2024–2026,0.333,1,0.31,0.444,0.387,85.8
Xander Bogaerts,593428,7,2024–2026,0.143,0,0.203,0.429,0.154,88.5
Jackson Merrill,701538,9,2024–2026,0.0,0,0.201,0.429,0.208,94.5
Ty France,664034,3,2025,0.0,0,0.005,0.0,0.25,90.4
Freddy Fermin,666023,3,2024–2025,0.0,0,0.004,0.0,0.5,71.6
