batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Bo Naylor,666310,2,2026,0.5,0,0.968,1.0,0.0,105.5
Cooper Pratt,806198,2,2026,0.5,0,0.506,1.0,0.0,101.8
Sal Frelick,686217,1,2026,1.0,0,0.502,0.0,0.0,90.5
Jake Bauers,641343,4,2026,0.5,1,0.441,0.5,0.1,89.8
Brice Turang,668930,2,2026,0.0,0,0.307,0.0,0.286,94.3
Garrett Mitchell,669003,5,2026,0.4,0,0.3,0.667,0.556,100.0
David Hamilton,666152,3,2024–2026,0.0,0,0.296,0.333,0.0,91.2
Christian Yelich,592885,6,2026,0.5,0,0.278,0.6,0.375,90.9
William Contreras,661388,6,2026,0.167,0,0.263,0.5,0.333,99.4
Luis Lara,800325,3,2026,0.333,0,0.226,0.5,0.0,96.2
Jackson Chourio,694192,5,2026,0.2,0,0.148,0.0,0.267,84.2
Joey Ortiz,687401,2,2026,0.0,0,0.031,0.0,0.25,81.1
