batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Brett Baty,683146,4,2024–2026,0.5,0,0.515,0.5,0.25,85.8
A.J. Ewing,805999,2,2026,0.5,1,0.48,1.0,0.25,103.4
Bo Bichette,666182,9,2021–2026,0.556,0,0.446,0.364,0.222,89.4
Luis Robert Jr.,673357,11,2021–2024,0.455,0,0.445,0.333,0.059,87.8
Francisco Lindor,596019,14,2016–2026,0.429,0,0.435,0.381,0.133,89.2
Tyrone Taylor,621438,5,2023–2026,0.4,0,0.402,0.0,0.286,84.8
Carson Benge,701807,4,2026,0.0,0,0.386,0.5,0.1,85.8
Jorge Polanco,593871,13,2017–2023,0.308,1,0.347,0.286,0.2,85.4
Francisco Alvarez,682626,3,2023–2026,0.0,0,0.323,0.0,0.375,83.5
Marcus Semien,543760,21,2015–2026,0.286,1,0.304,0.357,0.19,88.6
Luis Torrens,620443,8,2022–2026,0.0,0,0.198,0.2,0.312,78.4
Eric Wagaman,676572,2,2026,0.0,0,0.0,,0.75,
