batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Carlos Cortes,666126,1,2026,0.0,0,0.484,0.0,0.0,67.4
Zack Gelof,680869,2,2026,0.0,0,0.294,0.0,0.5,53.1
Jeff McNeil,643446,7,2026,0.429,0,0.291,0.571,0.083,90.6
Lawrence Butler,671732,3,2026,0.333,0,0.288,0.0,0.0,59.4
Shea Langeliers,669127,9,2026,0.222,0,0.213,0.375,0.278,93.1
Jonah Heim,641680,4,2026,0.0,0,0.149,0.0,0.2,64.7
Henry Bolte,703607,9,2026,0.222,0,0.118,0.25,0.579,85.8
Alika Williams,675961,2,2026,0.5,0,0.1,1.0,0.0,96.1
Max Muncy,691777,5,2026,0.4,0,0.088,0.333,0.364,91.0
Michael Stefanic,683021,1,2026,1.0,0,,1.0,0.5,102.7
