batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Willson Contreras,575929,7,2017–2026,0.286,0,0.549,0.286,0.263,91.7
Caleb Durbin,702332,4,2025–2026,0.25,0,0.466,0.667,0.429,96.1
Andruw Monasterio,655316,6,2023–2026,0.5,0,0.401,0.5,0.222,84.7
Mickey Gasper,681508,3,2026,0.667,0,0.399,0.667,0.0,94.2
Jarren Duran,680776,6,2024–2026,0.333,0,0.382,0.167,0.1,84.4
Isiah Kiner-Falefa,643396,6,2023–2024,0.333,0,0.369,0.25,0.143,93.7
Masataka Yoshida,807799,4,2023–2026,0.5,0,0.342,0.5,0.143,86.8
Connor Wong,657136,4,2024–2025,0.25,0,0.304,0.333,0.0,84.6
Ceddanne Rafaela,678882,6,2024–2026,0.167,0,0.293,0.333,0.062,84.1
Wilyer Abreu,677800,6,2025–2026,0.167,1,0.227,0.2,0.125,80.8
Marcelo Mayer,691785,6,2025–2026,0.167,0,0.134,0.0,0.2,79.5
