date,opponent,home_away,result,ip,h,r,er,hr,bb,k,pitches
2026-08-02 00:00:00,,vs,ND,7.0,5,0,0,0,1,3,94
2026-07-27 00:00:00,,@,L 0-1,4.0,7,7,7,4,0,3,66
2026-07-20 00:00:00,,vs,W 1-0,6.0,3,0,0,0,1,6,80
2026-07-08 00:00:00,,@,L 0-1,6.0,8,2,2,1,0,7,86
2026-06-29 00:00:00,,vs,W 1-0,8.0,7,2,2,1,1,7,100
2026-06-23 00:00:00,,@,W 1-0,6.0,9,2,1,0,2,5,91
2026-06-17 00:00:00,,vs,L 0-1,6.0,8,3,3,1,0,5,92
2026-06-10 00:00:00,,@,L 0-1,6.0,7,3,3,1,3,10,104
2026-06-03 00:00:00,,vs,L 0-1,4.0,9,5,4,0,1,5,89
2026-05-29 00:00:00,,vs,ND,5.1,6,4,4,1,1,4,87
2026-05-23 00:00:00,,@,L 0-1,6.0,9,5,3,0,0,3,92
2026-05-17 00:00:00,,vs,L 0-1,5.2,6,6,6,2,2,6,98
2026-05-11 00:00:00,,@,W 1-0,5.0,7,1,1,0,2,7,99
2026-05-05 00:00:00,,vs,ND,7.0,5,2,2,0,1,5,88
2026-04-29 00:00:00,,@,ND,5.2,8,2,2,0,2,5,97
2026-04-24 00:00:00,,@,W 1-0,6.0,5,2,2,0,1,2,81
2026-04-18 00:00:00,,vs,W 1-0,5.2,7,1,1,1,2,5,96
2026-04-13 00:00:00,,vs,W 1-0,7.2,7,2,2,0,1,6,99
2026-04-07 00:00:00,,@,L 0-1,8.0,6,3,3,1,0,4,90
2026-04-01 00:00:00,,vs,L 0-1,6.0,5,4,4,1,3,6,89
2026-03-27 00:00:00,,vs,W 1-0,6.0,2,1,1,1,2,6,90
