date,opponent,home_away,result,ip,h,r,er,hr,bb,k,pitches
9/2,,vs,L 0-1,3.2,7,6,6,1,4,4,96
8/28,,vs,ND,5.0,6,2,2,1,3,6,88
8/22,,@,ND,6.0,4,2,2,1,2,8,98
8/17,,vs,ND,1.1,0,0,0,0,1,1,22
8/12,,@,W 1-0,5.0,9,4,3,0,3,6,90
8/6,,vs,ND,5.0,7,1,1,0,3,3,89
8/1,,vs,ND,6.1,5,2,1,1,0,8,97
7/27,,@,W 1-0,5.2,3,2,2,1,2,3,86
7/21,,vs,W 1-0,6.2,3,0,0,0,1,4,94
7/9,,@,ND,5.0,2,1,1,1,4,2,77
7/3,,vs,L 0-1,3.2,9,10,10,1,3,3,91
6/27,,@,W 1-0,5.2,5,2,2,1,0,2,69
6/21,,@,L 0-1,4.0,6,5,4,1,2,5,79
6/15,,@,ND,3.0,2,3,3,1,2,1,54
6/10,,vs,ND,3.2,7,6,6,2,2,1,63
5/31,,vs,ND,4.0,1,0,0,0,1,3,51
5/26,,vs,L 0-1,5.0,11,6,6,0,3,4,90
5/21,,@,W 1-0,5.0,4,1,1,0,3,3,82
5/16,,vs,W 1-0,4.0,6,2,2,0,3,8,82
5/10,,@,ND,5.0,4,3,0,0,0,3,77
5/4,,@,W 1-0,4.0,3,2,2,0,0,6,69
4/29,,vs,L 0-1,3.2,5,7,7,0,3,5,80
4/23,,vs,ND,3.1,4,1,1,1,1,2,45
4/19,,@,ND,3.2,3,0,0,0,0,1,47
4/13,,@,L 0-1,5.0,5,4,4,1,4,7,89
4/8,,vs,L 0-1,5.0,6,5,5,0,2,6,85
4/2,,@,L 0-1,4.1,9,6,5,0,2,5,68
3/28,,vs,ND,5.1,6,0,0,0,2,3,76
