date,opponent,home_away,result,ip,h,r,er,hr,bb,k,pitches
6/28,,@,ND,6.0,4,0,0,0,1,5,92
6/22,,@,ND,5.0,5,2,2,0,0,9,76
6/16,,vs,L 0-1,3.1,7,7,6,2,2,4,70
6/11,,@,ND,4.2,5,2,2,0,2,3,83
6/5,,vs,ND,5.0,6,2,2,1,1,5,94
5/30,,vs,ND,6.0,3,0,0,0,3,2,85
5/25,,vs,L 0-1,5.0,4,4,4,1,2,5,85
5/19,,@,W 1-0,7.2,3,0,0,0,3,7,103
5/13,,vs,ND,5.0,3,0,0,0,4,3,97
5/8,,vs,L 0-1,3.2,4,3,3,1,3,3,87
5/2,,@,L 0-1,2.0,7,5,5,1,0,2,43
4/26,,vs,L 0-1,6.0,6,2,2,0,2,3,84
4/21,,vs,W 1-0,6.0,4,1,1,0,1,5,88
4/15,,@,ND,4.2,4,2,2,0,4,6,97
4/10,,@,ND,5.0,5,3,3,2,2,5,83
4/4,,vs,L 0-1,5.0,6,2,2,0,1,3,80
