date,opponent,home_away,result,ip,h,r,er,hr,bb,k,pitches
6/20,,vs,L 0-1,5.1,4,5,5,1,2,6,76
6/14,,@,L 0-1,4.0,9,6,6,1,0,2,59
6/8,,@,W 1-0,5.0,3,1,1,0,2,3,92
6/1,,vs,ND,6.0,2,2,2,2,0,7,91
5/26,,@,W 1-0,6.0,1,0,0,0,2,3,87
5/20,,vs,ND,5.0,5,2,2,0,3,4,86
5/15,,vs,L 0-1,6.0,5,1,1,0,1,6,91
5/8,,@,W 1-0,6.0,5,5,5,1,3,4,94
5/2,,vs,ND,7.0,6,1,1,0,0,14,103
4/26,,@,ND,6.0,7,2,2,2,2,4,94
4/20,,vs,ND,5.0,7,3,3,3,0,3,85
4/15,,@,ND,6.0,4,2,2,1,1,6,98
4/10,,vs,W 1-0,5.0,4,3,3,0,2,5,88
4/4,,@,L 0-1,6.2,6,1,1,1,0,5,82
3/29,,vs,W 1-0,6.0,0,0,0,0,1,9,97
