date,opponent,home_away,result,ip,h,r,er,hr,bb,k,pitches
2026-08-02 00:00:00,,vs,W 1-0,5.2,1,0,0,0,1,10,89
2026-07-28 00:00:00,,@,L 0-1,7.0,3,2,2,1,1,12,101
2026-07-23 00:00:00,,vs,ND,7.0,2,0,0,0,0,11,97
2026-07-18 00:00:00,,vs,L 0-1,6.0,7,5,5,3,0,11,84
2026-07-09 00:00:00,,@,W 1-0,7.0,3,2,2,1,1,11,103
2026-07-03 00:00:00,,vs,ND,4.2,5,3,3,1,2,6,79
2026-06-28 00:00:00,,vs,ND,5.0,6,3,2,0,3,6,103
2026-06-22 00:00:00,,@,ND,5.0,5,2,2,0,1,8,95
2026-06-17 00:00:00,,@,L 0-1,5.0,7,7,7,2,2,4,87
2026-06-08 00:00:00,,vs,ND,5.0,4,4,3,2,3,5,90
2026-06-03 00:00:00,,@,W 1-0,5.1,4,3,3,2,1,6,96
2026-05-27 00:00:00,,vs,W 1-0,7.0,3,1,1,0,2,4,94
2026-05-22 00:00:00,,@,W 1-0,8.0,5,0,0,0,0,11,99
2026-05-17 00:00:00,,vs,W 1-0,6.0,8,2,2,1,0,7,93
2026-05-10 00:00:00,,vs,L 0-1,6.0,10,5,5,0,1,6,101
2026-05-05 00:00:00,,@,L 0-1,6.0,8,5,5,2,2,7,97
2026-04-29 00:00:00,,vs,W 1-0,7.2,5,1,0,0,0,9,95
2026-04-24 00:00:00,,@,W 1-0,6.0,7,6,6,2,2,4,96
2026-04-18 00:00:00,,vs,W 1-0,7.0,3,1,1,1,1,11,100
2026-04-13 00:00:00,,@,W 1-0,5.0,5,2,2,1,2,4,93
2026-04-07 00:00:00,,vs,ND,5.2,1,1,1,1,5,8,102
2026-04-01 00:00:00,,@,W 1-0,7.0,2,0,0,0,3,10,85
2026-03-27 00:00:00,,@,L 0-1,5.0,2,3,3,1,6,7,89
