date,opponent,home_away,result,ip,h,r,er,hr,bb,k,pitches
6/27,,@,L 0-1,4.0,5,5,5,2,1,4,69
6/21,,vs,L 0-1,6.0,12,8,8,1,2,6,95
6/14,,@,L 0-1,4.0,10,6,6,2,2,2,75
6/7,,vs,ND,6.0,2,2,2,1,2,4,88
6/2,,vs,W 1-0,6.2,6,3,3,1,1,6,103
5/27,,@,L 0-1,3.1,9,6,5,0,1,1,59
5/22,,vs,ND,6.0,5,1,1,1,1,4,87
5/16,,vs,L 0-1,8.0,7,3,3,1,0,3,103
5/10,,@,W 1-0,5.2,1,0,0,0,4,8,83
5/5,,@,ND,6.0,2,2,2,1,3,9,93
4/30,,vs,ND,6.0,6,1,1,0,3,5,90
4/25,,vs,ND,7.0,6,3,3,0,1,2,92
4/20,,@,W 1-0,6.2,3,4,3,1,2,6,98
4/15,,vs,W 1-0,5.2,4,0,0,0,2,7,79
4/10,,vs,ND,4.2,4,2,2,1,3,3,76
4/4,,@,L 0-1,7.0,4,2,0,0,1,8,89
3/30,,vs,W 1-0,6.0,5,0,0,0,1,5,83
