date,opponent,home_away,result,ip,h,r,er,hr,bb,k,pitches
7/19,,@,W 1-0,7.0,5,1,1,0,1,7,95
7/10,,vs,ND,7.0,8,3,3,2,1,5,85
7/4,,@,W 1-0,5.0,8,4,4,0,3,5,102
6/27,,vs,ND,5.0,7,2,2,1,2,8,93
6/21,,@,W 1-0,5.0,5,1,1,0,2,5,95
6/16,,@,L 0-1,6.0,4,3,3,0,4,2,92
6/10,,vs,W 1-0,7.0,2,0,0,0,2,5,88
6/5,,@,W 1-0,6.1,7,3,3,1,0,4,85
5/30,,vs,ND,6.2,7,2,2,0,1,7,86
5/24,,vs,ND,6.2,5,2,0,0,2,4,105
5/17,,@,ND,3.2,5,2,2,1,3,3,70
5/11,,vs,ND,5.1,3,2,2,1,3,5,97
5/6,,@,W 1-0,6.0,4,3,3,0,3,5,93
4/30,,vs,L 0-1,4.0,9,10,4,2,2,2,82
4/24,,vs,W 1-0,5.2,7,3,3,1,1,5,93
4/6,,@,W 1-0,5.0,2,0,0,0,2,2,66
