date,opponent,home_away,result,ip,h,r,er,hr,bb,k,pitches
6/26,,@,W 1-0,6.0,8,3,3,1,1,5,89
6/20,,vs,L 0-1,5.1,6,4,3,0,3,5,98
6/15,,vs,W 1-0,6.0,6,1,0,0,2,3,98
6/9,,vs,W 1-0,5.2,8,5,5,1,3,5,97
6/4,,@,ND,6.0,2,1,1,1,1,8,88
5/30,,vs,W 1-0,6.0,4,1,0,0,3,4,80
5/23,,@,L 0-1,2.1,0,2,2,0,6,4,73
5/18,,@,L 0-1,8.0,2,2,2,1,1,10,105
5/13,,vs,W 1-0,6.0,9,1,0,0,1,3,95
5/7,,@,W 1-0,8.0,4,1,1,1,1,8,96
5/1,,vs,L 0-1,4.1,5,5,5,0,5,4,88
4/26,,@,ND,3.1,3,0,0,0,1,2,46
4/20,,@,ND,5.1,6,3,3,2,1,6,92
4/15,,vs,ND,5.1,2,2,2,1,4,3,78
4/10,,@,ND,4.0,1,0,0,0,1,4,68
4/5,,vs,ND,1.1,2,2,2,1,0,1,27
4/3,,vs,ND,2.0,3,2,2,0,1,1,32
3/29,,@,ND,3.2,1,0,0,0,1,2,45
