date,opponent,home_away,result,ip,h,r,er,hr,bb,k,pitches
2026-08-02 00:00:00,,vs,L 0-1,3.2,4,6,6,0,6,5,88
2026-07-28 00:00:00,,vs,W 1-0,6.0,3,0,0,0,4,7,90
2026-07-22 00:00:00,,@,L 0-1,4.2,8,6,6,3,4,5,83
2026-07-17 00:00:00,,vs,L 0-1,3.2,4,4,3,0,2,8,87
2026-07-11 00:00:00,,@,L 0-1,5.2,5,1,1,0,2,7,86
2026-07-05 00:00:00,,vs,L 0-1,3.0,8,6,5,2,3,1,85
2026-06-29 00:00:00,,vs,L 0-1,4.2,11,5,5,2,0,5,91
2026-06-24 00:00:00,,@,ND,5.0,3,0,0,0,1,9,97
2026-06-18 00:00:00,,vs,W 1-0,7.0,1,0,0,0,3,7,107
2026-06-12 00:00:00,,vs,ND,5.0,5,3,3,0,1,6,75
2026-06-07 00:00:00,,@,W 1-0,6.1,3,0,0,0,3,3,96
2026-06-02 00:00:00,,@,W 1-0,7.0,3,1,1,0,1,5,85
2026-05-26 00:00:00,,vs,L 0-1,5.0,9,4,4,0,1,5,88
