date,opponent,home_away,result,ip,h,r,er,hr,bb,k,pitches
2026-08-02 00:00:00,,@,L 0-1,5.0,5,5,5,0,5,3,99
2026-07-28 00:00:00,,@,ND,6.0,6,1,1,0,2,2,84
2026-07-22 00:00:00,,vs,W 1-0,7.0,3,3,3,0,2,5,94
2026-07-17 00:00:00,,vs,ND,6.0,4,2,1,0,2,3,90
2026-07-12 00:00:00,,@,ND,4.0,4,2,2,1,2,6,89
2026-07-07 00:00:00,,@,ND,4.1,9,9,6,2,2,4,94
2026-07-01 00:00:00,,vs,L 0-1,6.0,9,3,3,2,0,7,85
2026-06-25 00:00:00,,@,L 0-1,5.0,7,7,7,3,2,3,90
2026-06-19 00:00:00,,vs,W 1-0,6.0,5,2,1,0,3,0,85
2026-06-10 00:00:00,,vs,ND,3.1,3,1,1,0,1,2,44
2026-06-04 00:00:00,,@,ND,5.0,6,5,5,3,1,4,92
2026-05-30 00:00:00,,@,ND,6.0,6,3,1,1,0,6,90
2026-05-24 00:00:00,,vs,W 1-0,6.1,6,3,3,1,2,3,86
2026-05-18 00:00:00,,vs,L 0-1,6.0,5,2,2,1,2,5,93
2026-05-13 00:00:00,,@,L 0-1,5.0,8,5,5,0,2,4,92
2026-05-07 00:00:00,,vs,L 0-1,4.0,7,4,4,0,4,5,102
2026-05-02 00:00:00,,@,ND,6.0,8,2,2,0,2,6,103
2026-04-26 00:00:00,,vs,ND,6.1,14,7,7,1,1,3,97
2026-04-20 00:00:00,,vs,ND,7.0,1,0,0,0,4,7,93
2026-04-15 00:00:00,,@,ND,6.2,5,1,1,0,0,7,92
2026-04-09 00:00:00,,vs,L 0-1,6.1,4,2,1,0,4,4,92
2026-04-04 00:00:00,,vs,ND,5.0,4,2,2,0,2,7,103
2026-03-29 00:00:00,,@,W 1-0,6.1,5,0,0,0,0,3,77
