date,opponent,home_away,result,ip,h,r,er,hr,bb,k,pitches
6/19,,@,ND,5.0,6,4,4,1,4,6,105
6/13,,vs,W 1-0,5.0,3,0,0,0,2,5,76
6/7,,@,W 1-0,6.0,8,5,4,2,2,2,88
6/1,,vs,ND,4.2,3,3,2,1,7,7,108
5/27,,@,L 0-1,5.0,7,3,3,1,4,4,105
5/21,,vs,ND,6.2,6,2,2,0,1,7,103
5/16,,vs,L 0-1,5.1,1,6,6,0,6,6,92
5/10,,@,W 1-0,7.2,5,1,1,0,1,7,103
5/4,,vs,L 0-1,4.0,8,5,5,2,3,5,88
4/28,,@,L 0-1,5.0,6,3,3,2,3,6,97
4/22,,vs,ND,5.0,7,0,0,0,0,4,84
4/17,,vs,W 1-0,5.2,2,0,0,0,4,8,99
4/12,,@,W 1-0,7.0,2,0,0,0,3,10,106
4/6,,vs,W 1-0,8.0,3,1,1,1,0,10,97
3/31,,@,W 1-0,6.0,2,0,0,0,2,4,90
3/26,,@,W 1-0,6.0,2,0,0,0,4,7,91
