date,opponent,home_away,result,ip,h,r,er,hr,bb,k,pitches
2026-08-02 00:00:00,,@,ND,6.0,1,0,0,0,1,7,85
2026-07-27 00:00:00,,vs,L 0-1,3.2,8,3,3,1,2,5,67
2026-07-21 00:00:00,,@,L 0-1,5.1,9,5,5,1,2,7,95
2026-07-11 00:00:00,,vs,W 1-0,6.0,4,0,0,0,1,6,71
2026-07-05 00:00:00,,@,L 0-1,5.0,4,4,3,0,2,3,78
2026-06-30 00:00:00,,@,W 1-0,5.0,1,1,1,0,4,9,98
2026-06-24 00:00:00,,vs,L 0-1,5.1,8,6,6,2,2,3,98
2026-06-18 00:00:00,,@,L 0-1,1.2,7,7,5,1,0,2,48
2026-06-13 00:00:00,,@,ND,4.1,5,4,4,3,1,4,70
2026-06-06 00:00:00,,vs,ND,4.1,4,5,3,1,3,4,84
2026-05-31 00:00:00,,vs,W 1-0,5.1,3,0,0,0,1,4,85
2026-05-25 00:00:00,,@,L 0-1,5.0,7,3,3,1,2,10,101
2026-05-19 00:00:00,,vs,ND,4.2,7,4,4,0,2,9,77
2026-05-13 00:00:00,,@,L 0-1,5.0,9,4,4,1,2,5,89
2026-05-07 00:00:00,,@,W 1-0,6.0,3,1,1,0,3,6,81
2026-05-01 00:00:00,,vs,W 1-0,5.2,5,2,2,0,2,4,96
2026-04-25 00:00:00,,vs,ND,3.1,8,5,5,3,1,3,64
2026-04-19 00:00:00,,@,ND,6.0,3,1,1,0,2,4,82
2026-04-13 00:00:00,,vs,L 0-1,5.0,6,4,4,1,3,2,105
2026-04-07 00:00:00,,@,ND,5.0,9,4,4,2,2,6,92
2026-04-01 00:00:00,,vs,ND,6.0,3,1,1,1,1,2,76
2026-03-26 00:00:00,,vs,ND,5.0,7,1,1,1,2,2,78
