date,opponent,home_away,result,ip,h,r,er,hr,bb,k,pitches
7/1,,vs,L 0-1,5.2,7,6,6,2,1,4,95
6/26,,@,L 0-1,6.2,4,5,5,2,2,0,86
6/20,,vs,L 0-1,4.0,12,9,9,0,2,2,81
6/14,,@,ND,6.0,6,3,3,2,2,4,85
6/9,,@,ND,5.1,9,4,4,0,1,3,94
6/3,,vs,L 0-1,5.0,9,5,4,1,2,1,90
5/29,,@,ND,5.0,8,5,5,3,1,2,84
5/23,,vs,W 1-0,5.1,6,3,3,0,2,6,82
5/18,,vs,W 1-0,6.0,4,2,2,1,1,5,81
5/12,,@,L 0-1,4.2,6,7,4,2,2,4,95
5/7,,vs,L 0-1,6.0,6,4,4,2,2,5,100
5/1,,@,L 0-1,3.2,7,6,6,0,3,3,95
4/25,,vs,ND,3.0,1,0,0,0,0,3,49
4/18,,vs,ND,5.2,9,2,2,0,0,3,88
4/12,,@,ND,5.0,8,3,3,1,1,2,84
4/7,,@,ND,5.0,5,2,1,0,4,5,95
4/1,,vs,W 1-0,6.0,4,0,0,0,0,2,88
3/26,,@,L 0-1,4.0,5,4,4,1,2,2,76
