date,opponent,home_away,result,ip,h,r,er,hr,bb,k,pitches
6/29,,vs,W 1-0,7.0,5,1,1,0,0,1,91
6/23,,@,ND,6.2,3,0,0,0,3,5,95
6/17,,vs,W 1-0,7.0,6,1,1,1,3,5,100
6/12,,@,ND,2.2,2,2,1,1,5,3,85
6/6,,vs,L 0-1,6.1,6,4,4,2,1,5,92
6/1,,vs,ND,6.0,5,1,1,0,1,3,96
5/26,,@,W 1-0,6.0,6,2,2,1,2,6,94
5/21,,vs,ND,7.0,4,0,0,0,1,4,99
5/16,,@,L 0-1,5.1,9,3,3,0,0,6,91
5/10,,vs,W 1-0,8.1,4,1,1,0,3,4,100
5/5,,vs,W 1-0,7.0,2,0,0,0,3,7,103
4/29,,@,ND,4.2,5,2,2,0,4,4,87
4/22,,vs,W 1-0,5.0,6,4,4,2,3,4,96
4/15,,@,ND,5.0,6,4,4,1,4,3,98
4/9,,@,W 1-0,6.0,5,1,1,1,2,3,102
4/3,,vs,ND,7.0,4,0,0,0,1,3,90
3/28,,@,ND,5.0,4,1,0,0,2,5,79
