date,opponent,home_away,result,ip,h,r,er,hr,bb,k,pitches
2026-08-02 00:00:00,,@,W 1-0,5.2,4,1,1,0,3,5,99
2026-07-28 00:00:00,,@,W 1-0,6.0,4,0,0,0,2,7,99
2026-07-22 00:00:00,,vs,ND,7.0,4,3,3,2,0,11,93
2026-07-17 00:00:00,,vs,L 0-1,6.0,4,2,2,1,1,8,103
2026-07-08 00:00:00,,@,L 0-1,6.1,7,3,3,0,1,6,97
2026-07-03 00:00:00,,vs,W 1-0,5.0,5,2,2,1,0,7,88
2026-06-27 00:00:00,,@,L 0-1,5.1,7,4,4,2,1,5,89
2026-06-22 00:00:00,,@,L 0-1,4.1,9,5,5,1,1,5,89
2026-06-16 00:00:00,,vs,W 1-0,6.0,3,2,2,1,2,6,90
2026-06-09 00:00:00,,@,ND,4.0,5,2,2,0,2,4,83
2026-06-03 00:00:00,,vs,L 0-1,5.1,6,4,4,3,1,2,83
2026-05-27 00:00:00,,@,W 1-0,6.2,4,0,0,0,0,10,79
2026-05-22 00:00:00,,vs,ND,6.0,2,0,0,0,3,2,72
