date,opponent,home_away,result,ip,h,r,er,hr,bb,k,pitches
7/3,,@,W 1-0,5.2,5,0,0,0,1,2,102
6/27,,vs,L 0-1,6.2,11,5,5,0,1,4,98
6/22,,vs,W 1-0,6.0,6,1,1,0,0,2,85
6/16,,vs,W 1-0,7.0,4,2,2,0,0,6,92
6/10,,@,W 1-0,6.0,3,2,2,1,2,5,93
6/3,,vs,W 1-0,5.2,3,1,1,0,2,5,85
5/29,,vs,ND,3.0,8,4,4,1,1,3,75
5/23,,@,W 1-0,6.0,2,1,1,1,1,3,93
5/17,,vs,L 0-1,6.2,8,2,1,1,0,7,99
5/12,,@,W 1-0,5.0,4,3,3,0,3,4,85
5/6,,vs,L 0-1,6.0,8,5,5,1,2,3,104
4/29,,@,W 1-0,6.0,5,1,1,1,0,6,91
4/24,,vs,L 0-1,5.1,4,3,3,1,3,8,90
4/18,,@,W 1-0,5.0,3,1,1,1,3,5,87
4/12,,vs,L 0-1,5.0,9,7,6,1,1,2,95
4/6,,@,ND,5.0,3,2,2,0,4,2,88
3/31,,vs,W 1-0,5.0,3,0,0,0,3,3,88
