date,opponent,home_away,result,ip,h,r,er,hr,bb,k,pitches
2026-08-03 00:00:00,,@,W 1-0,5.2,4,3,2,0,4,5,96
2026-07-28 00:00:00,,vs,ND,4.0,7,5,3,0,1,3,91
2026-07-22 00:00:00,,@,ND,6.1,2,0,0,0,1,5,84
2026-07-11 00:00:00,,vs,ND,4.2,5,2,2,0,3,6,97
2026-07-05 00:00:00,,@,ND,4.0,6,4,4,1,4,0,86
2026-06-30 00:00:00,,@,L 0-1,6.1,7,5,5,0,2,6,97
2026-06-25 00:00:00,,vs,W 1-0,5.1,5,1,1,0,3,4,75
2026-06-19 00:00:00,,@,ND,6.0,6,2,2,1,2,1,74
2026-06-13 00:00:00,,vs,ND,5.2,3,2,2,0,1,6,84
2026-06-07 00:00:00,,@,L 0-1,5.1,1,3,2,0,2,7,88
2026-06-02 00:00:00,,@,W 1-0,5.0,6,4,4,1,2,3,91
2026-05-27 00:00:00,,vs,ND,5.0,8,4,4,0,2,5,91
2026-05-22 00:00:00,,@,L 0-1,5.0,2,3,0,0,3,11,99
2026-05-16 00:00:00,,vs,L 0-1,3.0,3,5,4,1,4,2,73
2026-05-10 00:00:00,,@,ND,5.0,5,2,2,1,1,3,77
2026-05-05 00:00:00,,@,L 0-1,5.0,2,2,2,0,6,4,92
2026-04-29 00:00:00,,vs,L 0-1,5.0,3,3,3,1,4,6,85
2026-04-23 00:00:00,,@,L 0-1,4.0,7,6,6,2,3,4,78
2026-04-17 00:00:00,,vs,W 1-0,6.0,3,1,1,0,1,3,90
2026-04-12 00:00:00,,@,ND,5.1,5,3,3,2,2,4,91
2026-04-06 00:00:00,,vs,L 0-1,4.1,5,3,3,0,4,4,83
2026-03-31 00:00:00,,@,ND,4.1,0,1,0,0,6,6,81
