date,opponent,home_away,result,ip,h,r,er,hr,bb,k,pitches
6/28,,@,ND,0.0,2,2,1,0,1,0,9
6/26,,@,L 0-1,1.0,2,2,2,1,1,0,14
6/25,,@,ND,1.0,0,1,1,0,1,0,15
6/20,,vs,ND,1.1,0,0,0,0,0,0,14
6/19,,vs,ND,1.0,0,0,0,0,0,1,10
6/17,,vs,ND,0.1,2,3,3,1,1,0,15
6/14,,@,ND,0.2,2,1,1,0,2,0,32
6/13,,@,ND,1.0,0,0,0,0,0,2,20
6/9,,@,ND,1.0,1,0,0,0,1,0,16
6/5,,vs,ND,1.2,3,1,1,1,0,2,29
6/3,,vs,L 0-1,0.2,1,1,0,0,0,0,8
5/31,,@,ND,1.0,3,2,2,0,0,2,22
5/29,,@,ND,1.2,1,0,0,0,0,2,22
5/27,,@,ND,1.0,0,0,0,0,1,0,15
5/24,,vs,ND,1.0,1,0,0,0,0,1,16
5/22,,vs,ND,2.0,0,0,0,0,1,2,32
5/18,,vs,ND,1.2,3,1,1,0,1,0,28
5/16,,@,ND,2.0,0,0,0,0,1,3,32
5/9,,@,ND,2.0,0,0,0,0,2,0,29
5/8,,@,ND,1.0,0,0,0,0,1,0,15
4/12,,vs,ND,0.2,0,0,0,0,0,1,13
4/10,,vs,ND,1.1,0,0,0,0,0,1,17
4/5,,@,ND,0.2,1,0,0,0,0,0,13
