date,opponent,home_away,result,ip,h,r,er,hr,bb,k,pitches
6/30,,vs,L 0-1,6.0,5,1,1,1,2,7,96
6/25,,vs,L 0-1,6.0,10,6,6,3,2,4,99
6/19,,@,L 0-1,2.0,7,7,7,1,4,3,68
6/13,,vs,ND,7.0,1,1,1,1,2,7,105
6/7,,vs,ND,5.0,5,4,4,2,0,5,93
6/2,,@,L 0-1,6.0,5,4,4,1,2,8,96
5/27,,vs,ND,5.0,6,1,1,0,2,5,95
5/22,,vs,W 1-0,6.2,6,1,1,0,1,8,94
5/17,,@,W 1-0,6.0,4,0,0,0,0,5,97
5/11,,vs,L 0-1,4.2,10,7,6,1,0,5,100
5/5,,@,ND,6.0,6,2,2,0,1,3,96
4/30,,@,L 0-1,5.2,4,4,4,2,2,2,94
4/25,,vs,W 1-0,6.2,6,2,2,1,0,3,91
4/19,,@,W 1-0,6.0,7,2,2,0,1,4,86
4/14,,@,ND,5.0,6,3,3,1,3,5,97
4/7,,vs,L 0-1,5.1,5,3,2,0,2,5,84
4/1,,vs,ND,6.0,2,0,0,0,0,10,89
3/27,,vs,ND,6.0,1,1,1,1,0,11,83
