date,opponent,home_away,result,ip,h,r,er,hr,bb,k,pitches
2026-08-02 00:00:00,,@,W 1-0,6.0,4,0,0,0,2,5,102
2026-07-28 00:00:00,,vs,W 1-0,7.0,4,0,0,0,1,5,97
2026-07-22 00:00:00,,@,L 0-1,7.0,9,5,5,3,1,3,108
2026-07-17 00:00:00,,@,ND,6.0,3,1,1,1,4,7,104
2026-07-10 00:00:00,,vs,L 0-1,7.0,5,3,3,1,0,8,99
2026-07-04 00:00:00,,@,W 1-0,8.0,6,1,1,0,1,8,100
2026-06-29 00:00:00,,@,W 1-0,5.2,7,5,5,0,5,3,96
2026-06-23 00:00:00,,vs,W 1-0,6.2,5,1,1,0,3,4,109
2026-06-17 00:00:00,,@,W 1-0,6.0,8,4,2,0,1,6,102
2026-06-12 00:00:00,,@,W 1-0,8.0,5,3,3,2,1,7,102
2026-06-07 00:00:00,,vs,W 1-0,7.0,5,1,1,0,1,7,90
2026-06-01 00:00:00,,@,W 1-0,7.0,7,3,3,1,0,5,95
2026-05-26 00:00:00,,@,L 0-1,5.2,10,8,8,3,1,4,95
2026-05-21 00:00:00,,vs,L 0-1,6.0,9,6,6,2,0,3,94
2026-05-16 00:00:00,,@,ND,6.0,7,1,0,0,0,6,101
2026-05-10 00:00:00,,vs,ND,6.0,5,2,2,0,2,3,89
2026-05-05 00:00:00,,vs,ND,4.1,8,7,7,0,3,5,106
2026-04-29 00:00:00,,@,ND,6.0,7,2,2,0,2,4,104
2026-04-24 00:00:00,,@,W 1-0,6.0,9,3,3,0,1,4,108
2026-04-18 00:00:00,,vs,L 0-1,5.0,4,3,2,1,6,1,97
2026-04-12 00:00:00,,@,L 0-1,6.0,10,7,7,3,2,4,100
2026-04-07 00:00:00,,vs,ND,8.1,3,2,2,0,2,6,95
2026-04-01 00:00:00,,vs,W 1-0,9.0,3,0,0,0,0,7,93
2026-03-27 00:00:00,,vs,W 1-0,7.0,4,1,0,0,2,5,73
