date,opponent,home_away,result,ip,h,r,er,hr,bb,k,pitches
2026-08-02 00:00:00,,@,W 1-0,5.2,6,3,3,0,2,4,88
2026-07-28 00:00:00,,@,L 0-1,6.1,6,3,3,1,2,4,88
2026-07-22 00:00:00,,vs,W 1-0,5.2,9,3,3,1,0,4,83
2026-07-17 00:00:00,,vs,W 1-0,6.0,1,0,0,0,1,3,65
2026-07-08 00:00:00,,@,W 1-0,7.0,4,0,0,0,1,4,81
2026-07-03 00:00:00,,@,W 1-0,7.2,5,2,2,1,0,6,92
2026-06-27 00:00:00,,vs,W 1-0,6.1,3,1,1,1,2,3,87
2026-06-22 00:00:00,,@,ND,6.0,4,0,0,0,0,9,72
2026-06-17 00:00:00,,vs,L 0-1,5.1,3,2,2,0,0,5,79
2026-06-10 00:00:00,,@,L 0-1,5.0,7,4,4,0,1,4,73
2026-05-07 00:00:00,,vs,L 0-1,5.1,6,4,4,0,2,1,86
2026-05-01 00:00:00,,vs,W 1-0,5.0,5,1,1,1,2,3,85
