date,opponent,home_away,result,ip,h,r,er,hr,bb,k,pitches
6/23,,vs,L 0-1,6.0,6,6,2,3,1,4,75
6/17,,@,ND,3.2,3,2,2,0,5,3,83
6/12,,@,L 0-1,4.0,8,4,4,0,1,7,74
6/6,,@,L 0-1,5.0,8,4,4,1,2,6,81
5/31,,vs,W 1-0,5.0,4,1,1,0,0,3,70
5/25,,@,ND,5.1,3,0,0,0,2,3,84
5/18,,vs,W 1-0,5.0,6,4,4,1,2,6,90
5/12,,@,ND,5.0,1,0,0,0,1,7,80
5/6,,vs,W 1-0,5.2,2,0,0,0,1,4,69
5/1,,vs,W 1-0,6.0,5,0,0,0,0,5,73
4/25,,vs,W 1-0,5.0,3,0,0,0,2,7,86
4/19,,@,L 0-1,4.1,8,4,4,0,0,5,90
4/14,,@,W 1-0,5.0,2,3,2,1,4,4,83
4/6,,vs,ND,4.0,1,2,2,0,4,5,69
3/31,,@,L 0-1,4.2,2,3,2,0,3,4,79
