date,opponent,home_away,result,ip,h,r,er,hr,bb,k,pitches
6/19,,@,L 0-1,3.1,8,7,6,0,3,1,72
6/13,,@,W 1-0,5.0,6,2,2,1,2,5,100
6/7,,vs,L 0-1,4.0,8,4,4,1,2,3,75
6/2,,@,ND,5.0,5,2,2,1,1,3,80
5/26,,vs,L 0-1,5.2,8,4,4,3,1,2,99
5/20,,vs,L 0-1,4.1,6,3,3,1,3,0,74
5/15,,@,W 1-0,6.0,4,0,0,0,0,3,79
5/9,,vs,W 1-0,5.0,6,1,1,0,0,6,94
5/4,,@,L 0-1,5.2,5,3,3,1,2,2,88
4/27,,vs,W 1-0,5.0,5,5,5,2,3,4,106
4/21,,@,W 1-0,7.0,3,0,0,0,0,5,84
4/15,,vs,ND,4.0,5,4,4,0,4,6,85
4/9,,vs,ND,5.2,7,1,1,1,0,8,92
4/4,,@,ND,6.0,6,1,1,0,1,3,83
3/28,,vs,W 1-0,6.0,2,0,0,0,3,8,91
