date,opponent,home_away,result,ip,h,r,er,hr,bb,k,pitches
8/12,,@,ND,1.0,0,0,0,0,0,1,9
8/9,,@,ND,1.0,0,0,0,0,0,0,14
8/8,,@,W 1-0,2.0,0,0,0,0,0,2,20
8/4,,@,ND,1.1,1,0,0,0,0,1,16
8/2,,vs,ND,1.0,0,0,0,0,0,0,13
7/30,,vs,ND,2.0,0,0,0,0,1,3,33
7/28,,vs,ND,1.1,1,1,1,1,0,0,22
6/23,,vs,ND,2.0,6,5,5,0,0,2,43
6/19,,vs,ND,1.2,1,0,0,0,0,1,25
6/15,,@,L 0-1,2.0,2,1,1,1,0,1,20
6/10,,vs,ND,0.1,2,2,2,1,0,0,9
6/7,,@,ND,1.0,0,2,1,0,2,0,38
6/2,,vs,L 0-1,1.2,6,5,5,2,0,2,53
5/27,,@,L 0-1,3.0,7,6,6,1,2,2,62
5/20,,vs,ND,4.0,3,1,1,0,2,5,67
5/3,,vs,ND,6.0,4,1,1,0,2,1,89
4/27,,@,W 1-0,7.0,4,2,2,1,1,2,95
4/21,,vs,L 0-1,3.0,4,4,4,3,4,4,77
4/16,,@,ND,5.1,6,2,2,1,1,4,74
4/10,,vs,W 1-0,5.0,2,2,2,0,2,7,88
4/4,,@,W 1-0,6.0,2,1,1,0,2,8,97
3/29,,@,W 1-0,5.0,6,4,4,1,1,2,81
