date,opponent,home_away,result,ip,h,r,er,hr,bb,k,pitches
7/11,,@,W 1-0,7.0,10,2,2,1,1,7,103
7/6,,@,L 0-1,3.1,12,9,9,3,1,1,83
6/30,,vs,W 1-0,7.0,3,0,0,0,2,9,92
6/25,,@,ND,5.0,7,5,5,1,1,6,92
6/20,,vs,W 1-0,6.0,5,1,1,1,1,5,91
6/14,,@,L 0-1,5.2,8,4,4,2,1,3,98
6/8,,@,W 1-0,7.0,4,2,2,1,1,10,107
6/3,,vs,W 1-0,7.0,4,1,1,0,1,8,84
5/27,,@,W 1-0,7.0,6,0,0,0,0,9,100
5/22,,vs,ND,8.0,4,0,0,0,2,6,96
5/16,,@,W 1-0,9.0,6,0,0,0,0,13,108
5/10,,vs,W 1-0,7.0,6,0,0,0,0,7,103
5/5,,vs,W 1-0,8.0,3,0,0,0,1,10,97
4/30,,vs,ND,6.2,4,2,2,0,3,7,85
4/23,,@,ND,5.1,12,6,6,2,2,4,99
4/18,,vs,L 0-1,6.0,8,3,0,0,1,8,93
4/13,,vs,W 1-0,6.0,6,2,2,1,3,8,96
4/7,,@,L 0-1,5.0,11,4,2,0,0,6,92
4/1,,vs,ND,5.1,4,1,1,0,4,7,97
3/26,,vs,W 1-0,6.0,3,0,0,0,0,10,87
