game_id,game_time,matchup,home_team,away_team,home_pitcher_name,away_pitcher_name,home_pitcher_id,away_pitcher_id,park_factor,away_woba,away_wrc_plus,away_obp,away_ops_plus,away_barrel,away_hard_hit,away_k_pct,away_bb_pct,away_babip,home_woba,home_wrc_plus,home_obp,home_ops_plus,home_barrel,home_hard_hit,home_k_pct,home_bb_pct,home_babip,home_pitcher_fip_vs_opp,home_pitcher_xfip_vs_opp,away_hitters_with_history,away_lineup_avg_xwoba,away_total_abs,away_pitcher_fip_vs_opp,away_pitcher_xfip_vs_opp,home_hitters_with_history,home_lineup_avg_xwoba,home_total_abs
823358,2026-07-12T16:15:00Z,MIL @ PIT,PIT,MIL,Paul Skenes,Robert Gasser,694973,688107,0.99,,,,,,,,,,,,,,,,,,,3.21,2.67,10,0.294,60,6.13,8.86,3,0.317,5
824814,2026-07-12T17:35:00Z,KC @ BAL,BAL,KC,Shane Baz,Seth Lugo,669358,607625,1.01,,,,,,,,,,,,,,,,,,,3.68,3.62,8,0.293,40,3.71,3.78,12,0.31,56
822708,2026-07-12T17:35:00Z,NYY @ WSH,WSH,NYY,Cade Cavalli,Will Warren,676917,701542,1.0,,,,,,,,,,,,,,,,,,,14.1,2.92,11,0.484,17,2.39,3.36,9,0.141,18
824491,2026-07-12T17:40:00Z,CHC @ CIN,CIN,CHC,Andrew Abbott,Matthew Boyd,671096,571510,1.04,,,,,,,,,,,,,,,,,,,4.67,4.78,11,0.369,88,4.08,3.74,12,0.333,61
823602,2026-07-12T17:40:00Z,BOS @ NYM,NYM,BOS,Zach Thornton,Payton Tolle,804267,801139,0.98,,,,,,,,,,,,,,,,,,,,,0,,0,,,1,0.112,2
822951,2026-07-12T17:40:00Z,SEA @ TB,TB,SEA,Ian Seymour,Emerson Hancock,693855,676106,0.97,,,,,,,,,,,,,,,,,,,5.1,6.46,6,0.277,4,,,6,0.438,8
824250,2026-07-12T17:40:00Z,PHI @ DET,DET,PHI,Tarik Skubal,Zack Wheeler,669373,554430,0.99,,,,,,,,,,,,,,,,,,,0.63,1.25,10,0.251,78,2.21,1.33,9,0.228,50
823842,2026-07-12T17:40:00Z,CLE @ MIA,MIA,CLE,Tyler Phillips,Joey Cantillo,663969,676282,0.95,,,,,,,,,,,,,,,,,,,2.63,3.31,7,0.295,15,,,0,,0
823681,2026-07-12T18:10:00Z,LAA @ MIN,MIN,LAA,Taj Bradley,José Soriano,671737,667755,1.01,,,,,,,,,,,,,,,,,,,6.89,4.08,8,0.455,26,5.5,2.83,6,0.335,13
824574,2026-07-12T18:10:00Z,ATH @ CWS,CWS,ATH,Noah Schultz,J.T. Ginn,702273,669372,0.97,,,,,,,,,,,,,,,,,,,1.1,3.15,3,0.107,6,1.1,2.46,4,0.504,6
823029,2026-07-12T18:15:00Z,ATL @ STL,STL,ATL,Dustin May,JR Ritchie,669160,702275,0.99,,,,,,,,,,,,,,,,,,,4.63,2.76,12,0.258,51,,,0,,0
822876,2026-07-12T18:35:00Z,HOU @ TEX,TEX,HOU,MacKenzie Gore,Cristian Javier,669022,664299,1.02,,,,,,,,,,,,,,,,,,,5.01,2.21,9,0.243,47,3.47,2.14,11,0.294,49
823199,2026-07-12T20:05:00Z,COL @ SF,SF,COL,Trevor McDonald,Michael Lorenzen,686790,547179,0.95,,,,,,,,,,,,,,,,,,,4.6,1.11,5,0.25,12,3.66,3.27,9,0.421,41
823925,2026-07-12T20:10:00Z,AZ @ LAD,LAD,AZ,Emmet Sheehan,Mitch Bratt,686218,683352,0.96,,,,,,,,,,,,,,,,,,,5.16,1.87,10,0.306,43,,,0,,0
823274,2026-07-12T20:10:00Z,TOR @ SD,SD,TOR,Germán Márquez,Kevin Gausman,608566,592332,0.95,,,,,,,,,,,,,,,,,,,4.0,2.89,6,0.434,33,3.99,2.53,10,0.264,121
