game_id,game_time,matchup,home_team,away_team,home_pitcher_name,away_pitcher_name,home_pitcher_id,away_pitcher_id,away_hitters_with_history,away_lineup_avg_xwoba,home_hitters_with_history,home_lineup_avg_xwoba
824518,2026-05-23T17:10:00Z,STL @ CIN,CIN,STL,Chris Paddack,Andre Pallante,663978,669467,8,0.292,12,0.28
824516,2026-05-23T23:15:00Z,STL @ CIN,CIN,STL,Chase Petty,Kyle Leahy,695534,681517,7,0.402,9,0.215
824674,2026-05-23T18:20:00Z,HOU @ CHC,CHC,HOU,Colin Rea,Kai-Wei Teng,607067,678906,8,0.346,1,0.0
822814,2026-05-23T19:07:00Z,PIT @ TOR,TOR,PIT,Patrick Corbin,Paul Skenes,571578,694973,7,0.184,8,0.178
823458,2026-05-23T20:05:00Z,CLE @ PHI,PHI,CLE,Zack Wheeler,Slade Cecconi,554430,677944,8,0.292,10,0.349
823222,2026-05-23T20:05:00Z,CWS @ SF,SF,CWS,Adrian Houser,Bryan Hudson,605288,663542,5,0.055,3,0.65
824109,2026-05-23T20:10:00Z,SEA @ KC,KC,SEA,Stephen Kolek,George Kirby,663568,669923,8,0.278,11,0.285
824760,2026-05-23T20:10:00Z,MIN @ BOS,BOS,MIN,Jovani Morán,Taj Bradley,663558,671737,11,0.161,10,0.325
824920,2026-05-23T20:10:00Z,WSH @ ATL,ATL,WSH,Grant Holmes,Jake Irvin,656550,663623,10,0.404,12,0.344
823862,2026-05-23T20:10:00Z,NYM @ MIA,MIA,NYM,Max Meyer,Freddy Peralta,676974,642547,10,0.164,8,0.321
823787,2026-05-23T23:15:00Z,LAD @ MIL,MIL,LAD,Robert Gasser,Roki Sasaki,688107,808963,6,0.504,6,0.552
823300,2026-05-24T01:40:00Z,ATH @ SD,SD,ATH,Lucas Giolito,J.T. Ginn,608337,669372,9,0.315,4,0.664
824030,2026-05-24T02:05:00Z,TEX @ LAA,LAA,TEX,Walbert Ureña,Nathan Eovaldi,700712,543135,0,,12,0.244
825080,2026-05-24T02:10:00Z,COL @ AZ,AZ,COL,Zac Gallen,Michael Lorenzen,668678,547179,7,0.405,9,0.269
823543,2026-05-23T17:35:00Z,TB @ NYY,NYY,TB,Ryan Weathers,Drew Rasmussen,677960,656876,5,0.342,13,0.224
824840,2026-05-23T20:05:00Z,DET @ BAL,BAL,DET,Brandon Young,Framber Valdez,687064,664285,8,0.354,11,0.288
