game_id,game_time,matchup,home_team,away_team,home_pitcher_name,away_pitcher_name,home_pitcher_id,away_pitcher_id,home_pitcher_fip_vs_opp,away_hitters_with_history,away_lineup_avg_xwoba,away_total_abs,away_pitcher_fip_vs_opp,home_hitters_with_history,home_lineup_avg_xwoba,home_total_abs
823368,2026-06-14T16:15:00Z,MIA @ PIT,PIT,MIA,Paul Skenes,Max Meyer,694973,676974,0.99,5,0.279,19,1.02,5,0.18,18
824823,2026-06-14T17:35:00Z,SD @ BAL,BAL,SD,Trevor Rogers,Walker Buehler,669432,621111,2.53,5,0.287,19,8.59,10,0.34,49
822722,2026-06-14T17:35:00Z,SEA @ WSH,WSH,SEA,PJ Poulin,Emerson Hancock,676571,676106,,3,0.402,2,4.22,6,0.359,10
822801,2026-06-14T17:37:00Z,NYY @ TOR,TOR,NYY,Patrick Corbin,Will Warren,571578,701542,5.76,11,0.392,116,5.28,12,0.282,56
824506,2026-06-14T17:40:00Z,AZ @ CIN,CIN,AZ,Andrew Abbott,Zac Gallen,671096,668678,6.13,10,0.419,49,6.05,9,0.335,57
823615,2026-06-14T17:40:00Z,ATL @ NYM,NYM,ATL,Freddy Peralta,Bryce Elder,642547,693821,5.42,12,0.282,62,5.89,9,0.373,35
824099,2026-06-14T18:10:00Z,HOU @ KC,KC,HOU,Stephen Kolek,Spencer Arrighetti,663568,681293,1.13,1,0.185,3,0.51,5,0.211,9
823693,2026-06-14T18:10:00Z,STL @ MIN,MIN,STL,Taj Bradley,Michael McGreevy,671737,700241,3.63,4,0.458,10,12.7,4,0.079,6
824586,2026-06-14T18:10:00Z,LAD @ CWS,CWS,LAD,Bryan Hudson,Emmet Sheehan,663542,686218,8.13,9,0.438,14,,1,0.316,2
823777,2026-06-14T18:10:00Z,PHI @ MIL,MIL,PHI,Kyle Harrison,Cristopher Sánchez,690986,650911,6.31,8,0.361,28,3.13,8,0.341,33
824994,2026-06-14T19:05:00Z,COL @ ATH,ATH,COL,Jeffrey Springs,Tomoyuki Sugano,605488,608372,0.82,5,0.178,12,2.5,9,0.324,31
823212,2026-06-14T19:10:00Z,CHC @ SF,SF,CHC,Logan Webb,Ryan Rolison,657277,669020,5.75,11,0.29,106,2.35,8,0.466,8
824021,2026-06-14T20:07:00Z,TB @ LAA,LAA,TB,Grayson Rodriguez,Casey Legumina,680570,668984,4.35,4,0.266,18,7.1,7,0.335,23
824751,2026-06-14T23:20:00Z,TEX @ BOS,BOS,TEX,Connelly Early,Nathan Eovaldi,813349,543135,,1,0.475,2,4.63,9,0.376,57
824424,2026-06-14T17:40:00Z,DET @ CLE,CLE,DET,Gavin Williams,Casey Mize,668909,663554,1.41,11,0.26,105,2.72,10,0.264,60
