game_id,game_time,matchup,home_team,away_team,home_pitcher_name,away_pitcher_name,home_pitcher_id,away_pitcher_id,home_pitcher_fip_vs_opp,away_hitters_with_history,away_lineup_avg_xwoba,away_total_abs,away_pitcher_fip_vs_opp,home_hitters_with_history,home_lineup_avg_xwoba,home_total_abs
824916,2026-06-07T17:35:00Z,PIT @ ATL,ATL,PIT,Bryce Elder,Mason Montgomery,693821,682254,3.48,9,0.261,36,4.81,7,0.44,9
823453,2026-06-07T17:35:00Z,CWS @ PHI,PHI,CWS,Aaron Nola,Tyler Gilbert,605400,656457,3.28,5,0.335,30,10.1,6,0.582,8
823537,2026-06-07T17:35:00Z,BOS @ NYY,NYY,BOS,Cam Schlittler,Ranger Suarez,693645,624133,2.29,10,0.231,42,4.07,13,0.321,91
822807,2026-06-07T17:37:00Z,BAL @ TOR,TOR,BAL,Kevin Gausman,Shane Baz,592332,669358,5.11,9,0.408,94,3.1,8,0.295,58
824268,2026-06-07T17:40:00Z,SEA @ DET,DET,SEA,Jack Flaherty,Luis Castillo,656427,622491,4.02,11,0.334,74,2.62,10,0.295,81
823857,2026-06-07T17:40:00Z,TB @ MIA,MIA,TB,Sandy Alcantara,Griffin Jax,645261,643377,4.42,8,0.285,46,0.88,5,0.414,5
824183,2026-06-07T18:10:00Z,ATH @ HOU,HOU,ATH,Mike Burrows,Gage Jump,681347,695611,2.1,9,0.431,16,,0,,0
823696,2026-06-07T18:10:00Z,KC @ MIN,MIN,KC,Connor Prielipp,Noah Cameron,687570,702070,,0,,0,1.94,9,0.249,35
823047,2026-06-07T18:15:00Z,CIN @ STL,STL,CIN,Michael McGreevy,Rhett Lowder,700241,695076,2.62,9,0.228,27,2.27,4,0.234,8
822890,2026-06-07T18:35:00Z,CLE @ TEX,TEX,CLE,Jacob deGrom,Joey Cantillo,594798,676282,2.84,2,0.298,25,0.6,6,0.209,14
824349,2026-06-07T19:10:00Z,MIL @ COL,COL,MIL,Kyle Freeland,Shane Drohan,607536,675660,4.51,11,0.28,81,,0,,0
825074,2026-06-07T19:15:00Z,WSH @ AZ,AZ,WSH,Michael Soroka,Cade Cavalli,647336,676917,,1,,1,,1,,2
823941,2026-06-07T20:10:00Z,LAA @ LAD,LAD,LAA,Emmet Sheehan,José Soriano,686218,667755,2.41,6,0.175,14,4.5,12,0.325,48
823291,2026-06-07T20:10:00Z,NYM @ SD,SD,NYM,Randy Vásquez,Huascar Brazobán,681190,623211,3.1,9,0.222,22,2.67,8,0.317,14
824670,2026-06-08T00:30:00Z,SF @ CHC,CHC,SF,Jameson Taillon,Trevor McDonald,592791,686790,6.39,5,0.369,50,,1,0.377,3
